Subject,Motion,Direction,Coupling,Type,Gain
1,1,1,1,0,0.82
2,1,1,1,0,0.78
3,1,1,1,0,0
4,1,1,1,0,0.79
5,1,1,1,0,0
6,1,1,1,0,0.94
7,1,1,1,0,1
8,1,1,1,0,0.24
9,1,1,1,0,0.9
10,1,1,1,0,0.0600000000000001
11,1,1,1,0,0.54
12,1,1,1,0,0.26
1,1,1,2,0,0.77
2,1,1,2,0,0.61
3,1,1,2,0,0
4,1,1,2,0,0
5,1,1,2,0,0
6,1,1,2,0,0.75
7,1,1,2,0,0.42
8,1,1,2,0,0.0499999999999998
9,1,1,2,0,0.37
10,1,1,2,0,0.8
11,1,1,2,0,-0.35
12,1,1,2,0,0.34
1,1,1,3,0,0.62
2,1,1,3,0,-0.16
3,1,1,3,0,0
4,1,1,3,0,0.68
5,1,1,3,0,0
6,1,1,3,0,0.94
7,1,1,3,0,0.33
8,1,1,3,0,0.14
9,1,1,3,0,0.4
10,1,1,3,0,0.26
11,1,1,3,0,-0.22
12,1,1,3,0,0.0699999999999998
1,1,1,5,1,0.87
2,1,1,5,1,0
3,1,1,5,1,0
4,1,1,5,1,0.94
5,1,1,5,1,0
6,1,1,5,1,0.92
7,1,1,5,1,1.02
8,1,1,5,1,0.51
9,1,1,5,1,1.3
10,1,1,5,1,0.93
11,1,1,5,1,0.64
12,1,1,5,1,0.52
1,1,1,6,1,1.53
2,1,1,6,1,1.37
3,1,1,6,1,0
4,1,1,6,1,1.02
5,1,1,6,1,0
6,1,1,6,1,1.17
7,1,1,6,1,1.22
8,1,1,6,1,0.51
9,1,1,6,1,1.19
10,1,1,6,1,0.81
11,1,1,6,1,0.92
12,1,1,6,1,1.68
1,1,1,7,1,1.23
2,1,1,7,1,0
3,1,1,7,1,0
4,1,1,7,1,1.04
5,1,1,7,1,0
6,1,1,7,1,1.1
7,1,1,7,1,1.3
8,1,1,7,1,1.21
9,1,1,7,1,1.17
10,1,1,7,1,0.51
11,1,1,7,1,1.24
12,1,1,7,1,1.02
1,2,1,1,0,0.89
2,2,1,1,0,0
3,2,1,1,0,0
4,2,1,1,0,0.37
5,2,1,1,0,0
6,2,1,1,0,0.48
7,2,1,1,0,0.54
8,2,1,1,0,-0.45
9,2,1,1,0,0.34
10,2,1,1,0,0.46
11,2,1,1,0,0.4
12,2,1,1,0,0
1,2,1,2,0,0.74
